time,open,high,low,close,volume,ticker,comGroupCode,organName,organShortName,organTypeCode,comTypeCode,icbName,icbNamePath,sector,industry,group,subgroup,icbCode
2024-04-24,14500,14800,14300,14650,3011500,ORS,HOSE,Công ty Cổ phần Chứng khoán Tiên Phong,Chứng khoán Tiên Phong,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,33000,35000,31300,34900,37800,CSI,UPCOM,Công ty Cổ phần Chứng khoán Kiến thiết Việt Nam,Chứng khoán Kiến thiết VN,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,15400,15400,15400,15400,100,PHS,UPCOM,Công ty Cổ phần Chứng khoán Phú Hưng,Chứng khoán Phú Hưng,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,7600,7900,7600,7900,169300,PSI,HNX,Công ty Cổ phần Chứng khoán Dầu khí,Chứng khoán Dầu khí,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,6600,6800,6500,6800,1837600,SBS,UPCOM,Công ty Cổ phần Chứng khoán SBS,Chứng khoán Sacombank,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,16200,18800,16200,18600,23524400,SHS,HNX,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,Chứng khoán SG - HN,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,11050,11300,11050,11300,124100,TCI,UPCOM,Công ty Cổ phần Chứng khoán Thành Công,Chứng khoán Thành Công,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,24100,27900,24100,27900,3782000,MBS,HNX,Công ty Cổ phần Chứng khoán MB,Chứng khoán MB,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,7550,7710,7410,7660,804300,TVB,HOSE,Công ty Cổ phần Chứng khoán Trí Việt,Chứng khoán Trí Việt,OTHER,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
2024-04-24,8200,8700,8200,8600,557700,TVC,HNX,Công ty Cổ phần Tập đoàn Quản lý Tài sản Trí Việt,Tập đoàn Trí Việt,DN,CT,Tài chính đặc biệt,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Tài chính đặc biệt,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính đặc biệt,8775
2024-04-24,23900,23900,23300,23600,94300,TVS,HOSE,Công ty Cổ phần Chứng khoán Thiên Việt,Chứng khoán Thiên Việt,DN,CK,Môi giới chứng khoán,Tài chính/Dịch vụ tài chính/Dịch vụ tài chính/Môi giới chứng khoán,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777
